Transcript_ID
ENST00000554581
ENST00000407796
ENST00000649815
ENST00000349310
ENST00000553506
ENST00000557552
ENST00000402615
ENST00000555528
ENST00000683722
ENST00000683058
ENST00000555458
ENST00000684058
ENST00000553797
ENST00000554826
ENST00000610370
ENST00000554192
ENST00000544168
ENST00000554585
ENST00000554848
ENST00000682269
ENST00000556836
ENST00000555380
