Protein_ID
ENSP00000451828
ENSP00000384293
ENSP00000497822
ENSP00000270202
ENSP00000385326
ENSP00000450688
ENSP00000507879
ENSP00000451470
ENSP00000507566
ENSP00000450681
ENSP00000481526
ENSP00000451166
